location,most_liked_dish,no_of_restaurants
Basaveshwara Nagar,Pav Bhaji,3
Whitefield,Tabakh Maaz,3
Malleshwaram,Panneer Butter Masala,3
Basaveshwara Nagar,Vegetable Biryani,3
Banashankari,Mutton Chops,3
Electronic City,Masala Peanuts,3
JP Nagar,Sitaphal Ice Cream,3
Rajajinagar,Choco Fudge Brownie,3
New BEL Road,Onion Dosa,3
Banashankari,Maddur Vada,3
Bannerghatta Road,Sandwiches,3
Marathahalli,Veg Thali,3
Indiranagar,Jalapeno Nuggets,3
Kammanahalli,Beef Fry,3
New BEL Road,Vietnamese Pho,3
New BEL Road,Mushroom Soup,3
Basaveshwara Nagar,Jeera Rice,3
Banashankari,Panner Tikka,3
Electronic City,Friendly Staff,3
"ITPL Main Road, Whitefield",Chicken Shashlik,3
Koramangala 4th Block,Rainbow Cake,3
"ITPL Main Road, Whitefield",Pulled Pork Burger,3
Whitefield,Kung Pao Chicken,3
Malleshwaram,Sev Puri,3
Marathahalli,Mutton Chops,3
Kalyan Nagar,Double Trouble,3
JP Nagar,Egg Chilli,3
RT Nagar,Biryani,3
Kaggadasapura,Chicken Tikka Biryani,3
Bannerghatta Road,Chicken Sandwiches,3
Old Airport Road,Rice Bowl,3
Kalyan Nagar,Crab Ghee Roast,3
Sarjapur Road,Egg Chilli,3
Banaswadi,Butter Chicken,3
New BEL Road,Ferrero Rocher,3
Malleshwaram,Garlic Bread,3
Whitefield,Mezze Platter,3
Basavanagudi,Popcorn,3
Bannerghatta Road,Chocolate Icecreams,3
HBR Layout,Keema Naan,3
Kalyan Nagar,Crabmeat Soup,3
Koramangala 7th Block,Prawn Noodles,3
Koramangala 8th Block,Lasagne,3
Sadashiv Nagar,Risotto,3
Whitefield,Mutton Bhuna Gosht,3
Brookefield,Mushroom Dosa,3
Brookefield,Chicken Manchurian,3
Seshadripuram,Samosa Pav,3
Indiranagar,Macaroni,3
Whitefield,Tempura Prawns,3
Banashankari,Dhokla,3
Marathahalli,Aloo Paratha,3
HSR,Aloo Litti,3
Bellandur,Fried Rice,3
Vasanth Nagar,Dum Ghost Biryani,3
Brigade Road,Paneer Pizza,3
HSR,Matar Paneer,3
Kalyan Nagar,Jumbo Prawns,3
Koramangala 8th Block,Chicken Masala,3
Banashankari,Cheesecake,3
"ITPL Main Road, Whitefield",Chicken Tikka Masala,3
HSR,Chicken Roll,3
Shivajinagar,Fruit Salad,3
Indiranagar,Pork Dumplings,3
Seshadripuram,Dabeli,3
Banashankari,Basil Chicken,3
Basavanagudi,Idli,3
Sarjapur Road,Prawn Curry,3
Brookefield,Veg Manchow Soup,3
JP Nagar,Goli Bajji,3
Indiranagar,Fish N Chips,3
Indiranagar,Fish Grill,3
Koramangala 7th Block,Fish Fingers,3
Bannerghatta Road,Chicken Wings,3
Sadashiv Nagar,Pizza,3
Malleshwaram,Brownie Chocolate,3
Brookefield,Tacos,3
Sarjapur Road,Chicken Dumplings,3
Marathahalli,Egg Biryani,3
Jayanagar,Chicken Shawarama,3
Electronic City,Peri Peri Fries,3
Basaveshwara Nagar,Prawn,3
Whitefield,Vanilla Ice Cream,3
Marathahalli,Mutton Keema Biryani,3
HSR,Kheer Kadam,3
Koramangala 5th Block,Mai Thai,3
Kalyan Nagar,Clear Soup,3
New BEL Road,Murgh Malai Kebab,3
Marathahalli,Rabri,3
Marathahalli,Chicken Handi,3
Marathahalli,Kheer,3
HSR,Kulcha,3
Rajajinagar,Sandwich,3
New BEL Road,Nachos,3
Banashankari,Lava Cake,3
HSR,Chocolate Overload,3
Sarjapur Road,Pav Bhaji Dosa,3
Ulsoor,Afghan Chicken,3
Whitefield,Liti Chokha,3
Marathahalli,Crab Masala,3
Whitefield,Deep Dish Pizza,3
Commercial Street,Rolls,3
BTM,Popcorn Chicken,3
Rajajinagar,Chicken Roll,3
Sarjapur Road,Pizza Dosa,3
Sarjapur Road,Wine,3
Marathahalli,Chicken Soup,3
Ulsoor,Pongal,3
New BEL Road,Burmese Khao Suey,3
Thippasandra,Chicken Grill,3
Brookefield,Roast Beef,3
Basaveshwara Nagar,Cake Pops,3
JP Nagar,Chole Bhature,3
Bannerghatta Road,Mocha Frappe,3
Electronic City,Peri Peri Fries,3
Koramangala 5th Block,Cheese Fingers,3
Vasanth Nagar,Sushi,3
Malleshwaram,Raita,3
Seshadripuram,Filter Coffee,3
Marathahalli,Ricotta Ravioli,3
Banashankari,Caramel Milkshake,3
Basaveshwara Nagar,American Chopsuey,3
New BEL Road,Chicken Biryani Combo,3
Bannerghatta Road,Rice Bowl,3
Marathahalli,Mango Lassi,3
Indiranagar,Paneer Steak,3
Kaggadasapura,Chicken Baida Roti,3
Whitefield,Dabeli,3
"ITPL Main Road, Whitefield",Buttermilk,3
Whitefield,Cream Soup,3
Whitefield,Keema Pav,3
Marathahalli,Chicken Fries,3
Koramangala 4th Block,Latte,3
Koramangala 5th Block,Cheese Vada Pav,3
New BEL Road,Sea Food,3
New BEL Road,Chilli Paneer,3
Banashankari,Honey Chilli Chicken,3
Banashankari,Salted Caramel,3
Ulsoor,Chicken Tikka Roll,3
Whitefield,Murgh Kalimirch,3
Whitefield,Kulfi,3
Electronic City,Chocolate Fantasy,3
New BEL Road,Potato Twister,3
Whitefield,Dhaniya Chutney,3
JP Nagar,Vanilla Latte,3
New BEL Road,Paneer Tikka Roll,3
Marathahalli,Mexican Shawarma,3
Ulsoor,Crab Soup,3
Marathahalli,Garlic Bread,3
Residency Road,Gosht Dum Biryani,3
Malleshwaram,Momo Burger,3
New BEL Road,Kerala Parotta,3
Banashankari,Ragi Mudde,3
BTM,Cup Cake,3
Marathahalli,Brownie,3
Electronic City,Paneer Pakora,3
Sarjapur Road,Rajma,3
Indiranagar,Dahi Baigan,3
Vasanth Nagar,Sea Food,3
Vasanth Nagar,Salad,3
New BEL Road,Masala Chai,3
Banashankari,Jalebi,3
Sarjapur Road,Duck Roast,3
Commercial Street,Beda Roti,3
Whitefield,Roti,3
Sarjapur Road,Garlic Naan,3
Sarjapur Road,Panna Cotta,3
Brookefield,Kit Kat Shake,3
"Varthur Main Road, Whitefield",Egg Noodles,3
"ITPL Main Road, Whitefield",Veg Sizzler,3
BTM,Cheesecake,3
Nagawara,Brownie,3
New BEL Road,Chicken Crisp Burger,3
Bannerghatta Road,Thin Crust Pizza,3
Marathahalli,Momo Burger,3
Banashankari,Sweet Lassi,3
Banashankari,Garlic Maggi,3
JP Nagar,Misal,3
Sadashiv Nagar,Spinach Salsa,3
"Varthur Main Road, Whitefield",Pav Bhaji,3
Electronic City,Chicken Bbq Burger,3
HSR,Feta Salad,3
New BEL Road,Shawarma Roll,3
Rajajinagar,Virgin Mojito,3
Sadashiv Nagar,Sea Food,3
Ulsoor,Reshmi Kebab,3
Whitefield,Mishti Doi,3
Electronic City,Lamb Burger,3
Kalyan Nagar,American Chopsuey,3
Rajajinagar,Garlic Bread,3
Banashankari,Paneer Hyderabadi,3
Kammanahalli,Aloo Paratha,3
Koramangala 4th Block,Eggless Cake,3
BTM,Bhindi Fry,3
New BEL Road,Chicken Chettinad,3
New BEL Road,Chicken Kebab,3
Brookefield,Dum Ka Chicken,3
Kaggadasapura,Mutton Curry,3
Whitefield,Chicken Crisp Burger,3
Banashankari,Masala Papad,3
Brookefield,Schezwan Vada Pav,3
Thippasandra,Paratha,3
New BEL Road,Kesari Bath,3
Bannerghatta Road,Cheese Sandwich,3
Brookefield,Lime Mojito,3
Whitefield,Litti,3
Marathahalli,Mutton Stew,3
"Varthur Main Road, Whitefield",Paneer Thali,3
Malleshwaram,Badam Milk,3
Banashankari,Tirupathi Pongal,3
BTM,Crispy Honey Chicken,3
Bannerghatta Road,Chicken Burger,3
Whitefield,Paneer Parantha,3
Bannerghatta Road,Chicken Sizzler,3
Kammanahalli,Chicken Wrap,3
Kalyan Nagar,Masala Dosa,3
Yeshwantpur,Masala Dosa,3
New BEL Road,Nutella Brownie,3
New BEL Road,Chicken Parmigiana,3
Whitefield,Choco Bomb,3
HSR,Dhaniya Chutney,3
Malleshwaram,Benne Masala Dosa,3
Basaveshwara Nagar,Burgers,3
Brookefield,Pesto Pasta,3
Banaswadi,Mumbai Sandwich,3
Koramangala 4th Block,Pesto Sandwich,3
New BEL Road,Stuffed Kulcha,3
New BEL Road,Paneer Parantha,3
New BEL Road,Coke Float,3
New BEL Road,French Fries,3
New BEL Road,Sweet Corn Soup,3
Malleshwaram,Grilled Sandwich,3
BTM,Bhaji Dosa,3
Indiranagar,Masala Dosa,3
JP Nagar,Veggie Wrap,3
Kammanahalli,Raita,3
Koramangala 7th Block,Fish N Chips,3
New BEL Road,Chaat,3
Banashankari,Iced Coffee,3
Banashankari,Vada Pav,3
Kumaraswamy Layout,Naan,3
Marathahalli,Roast Chicken,3
Koramangala 1st Block,Chicken Drumsticks,3
New BEL Road,Steak,3
Bannerghatta Road,Chicken Lasagne,3
BTM,Rajma,3
Cunningham Road,Masala Chai,3
HSR,Apple Pie,3
Basaveshwara Nagar,Phirni,3
New BEL Road,Pakoda,3
Sarjapur Road,Buffalo Wings,3
Old Airport Road,Shahi Tukda,3
Vasanth Nagar,Paneer Biryani,3
HSR,Poha,3
JP Nagar,Mango Lassi,3
JP Nagar,Sev Puri,3
Rajajinagar,Kadhai Paneer,3
Kaggadasapura,Tandoori Chicken,3
JP Nagar,Basket Chat,3
Cunningham Road,Maggi,3
RT Nagar,Tandoori Chicken,3
RT Nagar,Dal Fry,3
JP Nagar,Rajma,3
Bellandur,Manchow Soup,3
Marathahalli,Samosa Chaat,3
HSR,Sweet Lime,3
BTM,Banana Nutella Crepe,3
Commercial Street,Mutton Baida Roti,3
Old Airport Road,Egg Fried Rice,3
Koramangala 4th Block,Sausage Roll,3
Domlur,Cheesecake,3
Malleshwaram,Bread Pakora,3
Rajajinagar,Chop Suey,3
Sarjapur Road,Ice Tea,3
Whitefield,Saffron Kahwa,3
Basavanagudi,Manchurian,3
Basavanagudi,Puri Saagu,3
Central Bangalore,Salads,3
Sadashiv Nagar,Panipuri,3
New BEL Road,Malai Kofta,3
Whitefield,Chicken Roll,3
Brookefield,Plain Dosa,3
Shivajinagar,Kulfi,3
HSR,Kalmi Kabab,3
Marathahalli,Lauki Halwa,3
Banashankari,Boondi Raita,3
Jayanagar,Crispy Vada,3
Indiranagar,Mexican Fries,3
Koramangala 5th Block,Dragon Chicken,3
Malleshwaram,Kachori,3
Bannerghatta Road,Grilled Wings,3
JP Nagar,Mutton Biryani,3
Bannerghatta Road,Red Velvet Shake,3
HSR,Banoffee Shake,3
Old Airport Road,Bhatti Chicken,3
Kumaraswamy Layout,Chilli Chicken,3
Kalyan Nagar,Chilli Chicken,3
Banaswadi,Kulfi,3
New BEL Road,Khau Suey,3
Frazer Town,Bacon Burger,3
Whitefield,Masala Paneer,3
North Bangalore,Chicken Steak,3
New BEL Road,Hot Chocolate Fudge,3
New BEL Road,Filter Coffee,3
Whitefield,Sattu Paratha,3
Whitefield,Kadhai Paneer,3
BTM,Chicken Bucket,3
Electronic City,English Breakfast,3
Electronic City,Filter Coffee,3
Koramangala,Burrito Bowl,3
Basavanagudi,Chicken Tikka Roll,3
Banashankari,Masala Lemonade,3
Indiranagar,Sizzler Brownie,3
Basavanagudi,Biryani Combo,3
Whitefield,Kadala Curry,3
Indiranagar,Chicken Pasta,3
Malleshwaram,Chicken Sizzler,3
Basaveshwara Nagar,Chowmein,3
New BEL Road,Aloo Tikka Roll,3
Banashankari,Veggie Pizza,3
Marathahalli,Bbq Platter,3
BTM,Fiery Paneer Tikka,3
Sadashiv Nagar,Egg Ghee Roast,3
JP Nagar,Paan Ice Cream,3
Whitefield,Poha,3
Electronic City,Soya Chaap,3
Indiranagar,Dahi Ke Sholey,3
Old Airport Road,Momos,3
New BEL Road,Omelette,3
Sadashiv Nagar,Fish,3
Sarjapur Road,Chai,3
Banashankari,Jowar Roti,3
Bannerghatta Road,Masala Poori,3
JP Nagar,Mutton Curry,3
Bannerghatta Road,Liege Waffle,3
JP Nagar,Kharabath,3
Bannerghatta Road,Potato Wedges,3
Marathahalli,Paneer Parantha,3
Bellandur,Bhindi Fry,3
Wilson Garden,Masala Dosa,3
Whitefield,Ragi Mudde,3
Brookefield,Paneer Kathi Roll,3
BTM,Whole Meat Shawarma,3
Kalyan Nagar,Veggie Pizza,3
Malleshwaram,Chicken Momo,3
Banashankari,Crispy Chicken,3
Ulsoor,Masala Biryani,3
Koramangala,Biryani,3
Koramangala 5th Block,Chicken Jumbo Burger,3
Kumaraswamy Layout,French Fries,3
"ITPL Main Road, Whitefield",Eggless Cake,3
"ITPL Main Road, Whitefield",Blueberry Shake,3
Electronic City,Prawn Biryani,3
Kalyan Nagar,Crepe,3
Kalyan Nagar,Masala Vada Pav,3
Banaswadi,Keema Roll,3
Kaggadasapura,Rumali Roti,3
Sarjapur Road,Popcorn Chicken,3
Bellandur,Afghan Chicken,3
Marathahalli,Garlic Butter Noodle,3
Banaswadi,Pepperoni,3
Brookefield,Faluda,3
Kaggadasapura,Shawarma,3
Basavanagudi,Shawarma Roll,3
JP Nagar,Fish Thali,3
"Varthur Main Road, Whitefield",Tandoori Chicken,3
Whitefield,Liti Chokha,3
Whitefield,Hot Chocolate Fudge,3
Electronic City,Raj Kachori,3
JP Nagar,Panipuri,3
Koramangala 4th Block,Donut,3
Basaveshwara Nagar,Panneer Butter Masala,3
Whitefield,Beef Burger,3
Banashankari,Mirchi Bajji,3
Bannerghatta Road,Maharaja Mac,3
HSR,Chicken Tikka Sandwich,3
"ITPL Main Road, Whitefield",German Chocolate,3
Kalyan Nagar,Kulfi,3
Nagawara,Steak,3
Basaveshwara Nagar,Chocolate Truffle,3
Bannerghatta Road,Chicken Roll,3
JP Nagar,Potato Momos,3
Marathahalli,Garlic Bread,3
Whitefield,Cheese Paratha,3
JP Nagar,Pav Bhaji,3
North Bangalore,Fish,3
Indiranagar,Chicken Paprika,3
BTM,Thukpa,3
MG Road,Mc Flurry,3
HSR,Mutton Keema,3
New BEL Road,Rajma,3
Brookefield,Mint Mojito,3
Brookefield,Bbq Burger,3
South Bangalore,Murgh Malai,3
Electronic City,Veg Buffet,3
Kammanahalli,Salads,3
New BEL Road,Onion Rings,3
New BEL Road,Mysore Masala Dosa,3
Whitefield,Pot Biryani,3
Whitefield,Lunch Buffet,3
Electronic City,Hyderabadi Biryani,3
Kammanahalli,Chicken Sausages,3
Kammanahalli,Crispy Chicken,3
Bannerghatta Road,Chicken Tikka Sandwich,3
Jayanagar,Hot Chocolate Fudge,3
Whitefield,Thai Red Curry,3
BTM,Ambur Biryani,3
JP Nagar,Frappuccino,3
Thippasandra,Cheesy Pizza,3
JP Nagar,Mayo Sandwich,3
"ITPL Main Road, Whitefield",Butter Chicken,3
Cunningham Road,Banana Cake,3
Rajajinagar,Fried Rice,3
Banashankari,Hot Chocolate Fudge,3
Banashankari,Tandoori Maggi,3
JP Nagar,Rasmalai,3
Kalyan Nagar,Strawberry Cheesecake,3
New BEL Road,Mutton Biryani,3
Rajajinagar,Clear Soup,3
Sadashiv Nagar,Biryani,3
Basavanagudi,Chicken Grill,3
Bannerghatta Road,Long Island Iced Tea,3
"Varthur Main Road, Whitefield",Roti,3
"ITPL Main Road, Whitefield",Tiramisu,3
Electronic City,Corn Sandwich,3
Old Airport Road,Noodles,3
Domlur,Wings,3
New BEL Road,Peri Peri Wings,3
Malleshwaram,Chocolava Cake,3
Cunningham Road,Ginger Lemon Tea,3
Rajajinagar,Mutton Chops,3
BTM,Peri Peri Chicken,3
Sarjapur Road,Curd Rice,3
"ITPL Main Road, Whitefield",Choco Strawberry,3
Electronic City,Onion Pakoda,3
Malleshwaram,Shawarma,3
Rajajinagar,Chicken Kshatriya,3
HSR,Thick Crust Pizza,3
Whitefield,Thandai,3
Marathahalli,Paneer Chatpata,3
Jeevan Bhima Nagar,Pasta,3
BTM,Pongal,3
Commercial Street,Chicken Tikka Roll,3
Vasanth Nagar,Mutton Biryani,3
Basavanagudi,Grape Juice,3
Bannerghatta Road,Chicken Boneless Biryani,3
BTM,Chicken Momo,3
HSR,Rasmalai,3
HSR,Nutella Shake,3
Thippasandra,Kulcha,3
Kalyan Nagar,Masala Lemonade,3
Wilson Garden,Filter Coffee,3
Bellandur,Lemongrass Tea,3
Whitefield,Butter Chicken Roll,3
JP Nagar,Velvet Cake,3
Indiranagar,Crunchy Veg Burger,3
Bannerghatta Road,Potato Wedges,3
Banaswadi,Vada Pav,3
Vasanth Nagar,Wine,3
Malleshwaram,Chicken Grill,3
Basaveshwara Nagar,Bheja Fry,3
Banashankari,Falafel,3
Banashankari,Pav Bhaji,3
Jayanagar,Guava Ice Cream,3
East Bangalore,Farm Pizza,3
Whitefield,Japanese Green Tea,3
Marathahalli,Grape Juice,3
Indiranagar,Paneer Taco,3
Malleshwaram,Corn Momo,3
Jayanagar,Murgh Ghee Roast,3
HSR,Lava Cake,3
"ITPL Main Road, Whitefield",Choco Almond,3
Cunningham Road,Samosa,3
Whitefield,Chole Bhature,3
Sarjapur Road,Paneer Biryani,3
Marathahalli,Masala Papad,3
Marathahalli,Sev Puri,3
Whitefield,Paneer Bhurji Roll,3
Whitefield,Chicken Mayo Sandwich,3
Brookefield,Pasta Alfredo,3
Koramangala 1st Block,Dragon Chicken,3
Sadashiv Nagar,Shakshouka,3
Kaggadasapura,Momos,3
Banashankari,Chicken Rice,3
Kumaraswamy Layout,Panneer Butter Masala,3
Commercial Street,Malai Tikka,3
Jayanagar,Paneer Tikka Biryani,3
Banashankari,Samosa Kachori,3
Koramangala,Fish,3
New BEL Road,Caramel Coffee,3
New BEL Road,Lasagne,3
Bellandur,Butter Phulkas,3
Whitefield,Chocolate Cake,3
Whitefield,Masala Papad,3
HSR,Exotic Garlic Bread,3
Marathahalli,Ice Cream Sizzler,3
Kaggadasapura,Ghee Rice,3
Marathahalli,Fish Thali,3
New BEL Road,Aloo Posto,3
Sarjapur Road,Dahi Bhalle,3
Indiranagar,Garlic Bread,3
Kalyan Nagar,Chilli Prawns,3
Basaveshwara Nagar,Pasta,3
Marathahalli,Chicken Tikka Roll,3
Electronic City,Babaganush,3
Electronic City,Paneer Biryani,3
RT Nagar,Biryani,3
Bommanahalli,Pasta,3
Jeevan Bhima Nagar,Chicken Jumbo Burger,3
Kammanahalli,Jumbo Shawarma,3
Kaggadasapura,Lassi,3
JP Nagar,Tandoori Momos,3
Bellandur,Gulab Jamun,3
Sarjapur Road,Pita Bread,3
Koramangala 5th Block,Penne Arrabiata Pasta,3
Majestic,Coffee,3
New BEL Road,Risotto,3
Basaveshwara Nagar,Bruschettas,3
Whitefield,Papaya Salad,3
Sarjapur Road,Kokum Sharbat,3
Sarjapur Road,Phad Thai,3
BTM,Brinjal Curry,3
MG Road,Maharaja Chicken Burger,3
Jayanagar,Hot Coffee,3
Whitefield,French Omelette,3
New BEL Road,Cheese Paratha,3
Kammanahalli,Pineapple Grill,3
Kalyan Nagar,Pizza Burger,3
New BEL Road,Chocolava,3
"ITPL Main Road, Whitefield",Sweet Lassi,3
HSR,Thai Green Curry,3
Bannerghatta Road,Mango Lassi,2
Basavanagudi,Chocolate Cookies,2
"ITPL Main Road, Whitefield",Pepperoni,2
Brookefield,Paneer Biryani,2
Bommanahalli,Lime Soda,2
Banaswadi,Pepper Baby Corn,2
Malleshwaram,Garden Salad,2
Malleshwaram,Upma,2
Malleshwaram,Shahi Paneer,2
Brookefield,Egg Noodles,2
Marathahalli,Bhindi Masala,2
New BEL Road,Chicken Curry,2
Domlur,California Burrito,2
Sarjapur Road,Buttermilk,2
Whitefield,Chilli Paneer,2
Jayanagar,Mango Ice Cream,2
Electronic City,Paneer Curry,2
Jeevan Bhima Nagar,Sandwich,2
Indiranagar,Malai Korma,2
Old Airport Road,Chole Bhature,2
Kalyan Nagar,Meatballs,2
Marathahalli,Punjabi Chicken Masala,2
Kaggadasapura,Garlic Bread,2
Whitefield,Hot Chocolate Fudge,2
Jayanagar,Pita Bread,2
Bellandur,Hot Chocolate Fudge,2
Banaswadi,Thukpa,2
Jayanagar,Mysore Pak,2
Nagawara,Gulab Jamun,2
Malleshwaram,Veggie Roll,2
Malleshwaram,Button Idli,2
New BEL Road,Chicken Boneless Biryani,2
Shanti Nagar,Kulcha,2
Electronic City,Mutton Curry,2
Nagawara,White Sauce Pasta,2
MG Road,Ginger Chai,2
Malleshwaram,Hot Coffee,2
Marathahalli,Chicken Burger,2
Domlur,Rice Bowl,2
Whitefield,Hot Coffee,2
Banashankari,Omelette,2
Bannerghatta Road,California Burrito,2
Brigade Road,Cheese Garlic Naan,2
Whitefield,Beef Patty,2
HSR,Cheesy Garlic Bread,2
Indiranagar,Pork Chops,2
Jayanagar,Potato Twister,2
Kalyan Nagar,Rava Masala Dosa,2
Rajajinagar,Jowar Roti,2
New BEL Road,Coffee Walnut,2
Malleshwaram,Chocolate Cake,2
Basaveshwara Nagar,Cucumber Salad,2
Sarjapur Road,Mini Idlis,2
Whitefield,Chole,2
Electronic City,Chocolava Cake,2
Commercial Street,Vegetarian,2
Hennur,Mutton Pepper Fry,2
Nagawara,Salad,2
MG Road,Ginger Tea,2
Sankey Road,Creme Brulee,2
Sanjay Nagar,Lime Soda,2
Bannerghatta Road,Papdi Chaat,2
Race Course Road,Mutton Biryani,2
Commercial Street,Badam Halwa,2
HSR,Masala Shikanji,2
Indiranagar,Beef Lasagna,2
Indiranagar,Veg Bao,2
Old Airport Road,Papdi Chaat,2
Bannerghatta Road,Mushroom Soup,2
Nagawara,Lemon Chicken,2
Vasanth Nagar,Vegetable Kebab Platter,2
Majestic,Podi Masala Dosa,2
New BEL Road,Bamboo Chicken,2
Whitefield,Garlic Naan,2
Jayanagar,Puri Saagu,2
Bellandur,Veggie Pizza,2
Sarjapur Road,Butter Chicken,2
Sarjapur Road,Baked Chicken,2
Brookefield,Kesari Bath,2
HSR,Curd Rice,2
Sadashiv Nagar,Lauki Ka Halwa,2
Yeshwantpur,Fish Fry,2
Malleshwaram,Noodles,2
Marathahalli,Crispy Chicken,2
New BEL Road,Butter Chicken Pizza,2
Rajajinagar,Vegetarian,2
Seshadripuram,Breakfast Buffet,2
Kumaraswamy Layout,Raita,2
Banashankari,Singapore Noodles,2
Bannerghatta Road,Fries,2
Basavanagudi,Barbeque Chicken Pizza,2
Commercial Street,Peri Peri Fries,2
Yeshwantpur,Sea Food,2
Rajajinagar,Patiala Paneer,2
Malleshwaram,Veg Cheese Burger,2
Marathahalli,Paneer Tikka Biryani,2
Rajajinagar,Karara Paneer,2
Sarjapur Road,Poricha Kozhi,2
Marathahalli,Thick Shakes,2
Electronic City,Pot Biryani,2
Old Airport Road,Thali,2
Malleshwaram,Momos,2
Yeshwantpur,Garlic Chicken,2
Indiranagar,Crepe,2
Bellandur,Hyderabadi Biryani,2
Whitefield,Mutton Burger,2
West Bangalore,Sandwich,2
Electronic City,Chocochip Cake,2
HSR,Masala Prawn,2
Kaggadasapura,Paneer Bhurji,2
Seshadripuram,Lassi,2
Rajajinagar,Masala Lemonade,2
Malleshwaram,Chop Suey,2
Malleshwaram,Hot Chocolate Fudge,2
Whitefield,Tandoori Chicken,2
Basavanagudi,Maharaja Mac,2
City Market,Chicken Grill,2
Marathahalli,Naan,2
Marathahalli,Paneer Pizza,2
JP Nagar,Dahi Vada,2
RT Nagar,Chicken Curry,2
Kammanahalli,Chicken Sandwich,2
Hennur,Thali,2
Koramangala 5th Block,Chicken Nihari,2
Thippasandra,Butter Chicken,2
Banashankari,Cheese Maggi,2
Basavanagudi,Mushroom Ravioli,2
Kalyan Nagar,Hot Chocolate Fudge,2
Malleshwaram,Latte,2
Rajajinagar,Salad,2
Whitefield,Jeera Rice,2
Whitefield,Manchow Soup,2
Bellandur,Laccha Paratha,2
Whitefield,Gnocchi,2
Thippasandra,Puttu Biryani,2
JP Nagar,Basmati Rice,2
Nagawara,Noodles,2
Kammanahalli,Prawn Ghee Roast,2
Sarjapur Road,Appam,2
Basavanagudi,Coriander Soup,2
JP Nagar,Popcorn Chicken,2
City Market,Chicken Biryani,2
Whitefield,Sushi,2
Electronic City,Luchi,2
Old Airport Road,Garlic Bread,2
JP Nagar,Fish Fry,2
Banaswadi,Sev Puri,2
Koramangala 7th Block,Maharaja Burger,2
Vasanth Nagar,Masala Tea,2
Sadashiv Nagar,Aamras,2
Sadashiv Nagar,Tandoori Platter,2
Sankey Road,Mutton Chops,2
Seshadripuram,Pongal,2
Bellandur,Poha,2
Whitefield,Puri Sabzi,2
Basavanagudi,Curd Rice,2
Jayanagar,Guava Ice Cream,2
Brigade Road,Mix Veg,2
Marathahalli,Chicken Samosa,2
Brookefield,Lahori Chicken,2
BTM,Crispy Chicken,2
Electronic City,Murgh Lababdar,2
HSR,Mutton Raan Biriyani,2
HSR,Mango Lassi,2
Indiranagar,Panipuri,2
Kammanahalli,Chicken Whopper,2
Malleshwaram,Sunday Brunch,2
Yeshwantpur,Biryani,2
Sadashiv Nagar,Fruit Cream,2
Seshadripuram,Khali Dosa,2
Sarjapur Road,California Burrito,2
Whitefield,Manchurian,2
Old Airport Road,Baked Chicken,2
Banashankari,Ice Cream Sundae,2
Bellandur,Exotic Garlic Bread,2
Brookefield,Dum Biryani,2
HSR,Kesar Kulfi,2
Indiranagar,Chocolate Hazelnut,2
Indiranagar,Chicken Baida Roti,2
Kalyan Nagar,Keema Roll,2
Kalyan Nagar,Ramen,2
Seshadripuram,Rasmalai,2
Whitefield,Kebab Biryani,2
Banashankari,Hazelnut Cappuccino,2
Banashankari,Tom Yum Soup,2
Brigade Road,Cappuccino,2
Brookefield,Chicken Chettinad,2
Indiranagar,Idli,2
Nagawara,Biryani,2
Kalyan Nagar,Hyderabadi Chicken Biryani,2
Yeshwantpur,Misal Pav,2
Whitefield,Naan,2
Mysore Road,Idli Vada,2
Jayanagar,Paneer Sandwich,2
HSR,Fudge Cake,2
Electronic City,Chocolate Decadence,2
Kalyan Nagar,Belgium Chocolate,2
Nagawara,Raita,2
Banaswadi,Chaat,2
Vasanth Nagar,Salads,2
Race Course Road,Rolls,2
Whitefield,Tandoor Chicken Burger,2
Whitefield,Tikka,2
Mysore Road,Pongal,2
Jayanagar,Curd Rice,2
Brookefield,Kadhai Mushroom,2
South Bangalore,Salad,2
Nagawara,Neer Dosa,2
Majestic,Panipuri,2
Malleshwaram,Kesari Bath,2
Malleshwaram,New York Cheesecake,2
Seshadripuram,Vada,2
Marathahalli,Nasi Goreng,2
Whitefield,Raspberry Sorbet,2
Kumaraswamy Layout,Pasta Alfredo,2
Jayanagar,Palak Paneer,2
Nagawara,Thai Crispy Chicken,2
Kalyan Nagar,Hot Chocolate,2
Koramangala 5th Block,Paneer Momos,2
Domlur,Chicken Satay,2
Kaggadasapura,Aloo Posto,2
Whitefield,Shikanji,2
Banashankari,Paneer Biryani,2
Banashankari,Vada Sambar,2
Bannerghatta Road,Bengali Pulao,2
Marathahalli,Mysore Pak,2
Frazer Town,Clear Soup,2
HSR,Dal Makhani,2
Old Airport Road,Aam Panna,2
HBR Layout,Hyderabadi Biryani,2
Jalahalli,Rava Masala Dosa,2
Banashankari,Chocolava Cake,2
Sarjapur Road,Salted Caramel,2
Bellandur,Hara Bhara Kabab,2
"ITPL Main Road, Whitefield",Fries,2
CV Raman Nagar,Kadhi,2
Jayanagar,Ragda Pattis,2
Nagawara,Filter Coffee,2
Nagawara,Shawarma,2
Kumaraswamy Layout,Sea Food,2
"ITPL Main Road, Whitefield",Chicken Biryani,2
Race Course Road,Wine,2
Electronic City,Fish Fry,2
Vasanth Nagar,Belgian Waffles,2
HSR,Jumbo Shawarma,2
Indiranagar,Nasi Goreng,2
Indiranagar,Mango Ice Cream,2
Indiranagar,Banh Cuon,2
Kalyan Nagar,Churros,2
