location,most_liked_dish,no_of_restaurants
HSR,Nachos,31
HSR,Pasta Alfredo,31
Koramangala 1st Block,Paratha,31
Indiranagar,Spring Roll,31
Banashankari,Pizza,31
Koramangala 5th Block,Manchow Soup,31
Vasanth Nagar,Burgers,30
Jayanagar,Veg Thali,30
Kammanahalli,Pasta,30
BTM,Chicken Boneless Biryani,30
Marathahalli,Tea,30
Jayanagar,Naan,30
JP Nagar,Vegetable Biryani,30
Koramangala 4th Block,Biryani,30
Koramangala 6th Block,Sandwich,30
Richmond Road,Mutton Biryani,30
MG Road,Roti,30
Indiranagar,Noodles,30
BTM,Chicken Tikka,30
Richmond Road,Lunch Buffet,30
Brigade Road,French Fries,30
Church Street,Brownie,30
Electronic City,Burgers,30
HSR,Butter Chicken,30
Koramangala 5th Block,Mocktails,30
Jayanagar,Misal Pav,30
Sarjapur Road,Burgers,30
Koramangala 1st Block,Ginger Tea,30
HSR,Biryani,30
Marathahalli,Noodles,30
Koramangala 5th Block,Mutton Curry,30
Kalyan Nagar,Coffee,30
BTM,Pasta,30
Koramangala 3rd Block,Salad,30
Koramangala 1st Block,Noodles,30
BTM,Veg Thali,30
Kalyan Nagar,Sandwiches,30
Indiranagar,Rolls,30
Bannerghatta Road,Momos,30
Whitefield,Vegetable Biryani,30
Indiranagar,Thali,30
Koramangala 5th Block,Naan,30
Lavelle Road,Nachos,30
Jayanagar,Thali,30
Marathahalli,Gulab Jamun,30
Indiranagar,Chaat,30
Koramangala 7th Block,Tiramisu,30
MG Road,Coffee,30
Koramangala 7th Block,Butter Naan,30
MG Road,Ravioli,29
Koramangala 4th Block,Pasta,29
Ulsoor,Pizza,29
Bellandur,Burgers,29
Lavelle Road,Sandwiches,29
Jayanagar,Chilli Chicken,29
Church Street,Coffee,29
Indiranagar,Pancakes,29
Whitefield,Lunch Buffet,29
Church Street,Butter Chicken,29
Koramangala 6th Block,Tea,29
BTM,Rolls,29
Malleshwaram,Sandwich,29
Residency Road,Thali,29
Richmond Road,Sea Food,29
Lavelle Road,Coffee,29
Kalyan Nagar,Salads,29
Whitefield,Sandwiches,29
Richmond Road,Calamari,29
Marathahalli,Pasta,29
Banashankari,Garlic Bread,29
St. Marks Road,Paratha,29
Koramangala 6th Block,Roti,29
MG Road,Onion Rings,29
Malleshwaram,Burgers,29
Church Street,Beer,29
Koramangala 4th Block,Blueberry Cheesecake,29
Marathahalli,Raita,29
Brookefield,Roti,29
Lavelle Road,Lamb,29
JP Nagar,Beer,29
BTM,Mocktails,29
Koramangala 5th Block,Beef Fry,29
BTM,Masala Papad,29
Kammanahalli,Burgers,29
HSR,Garlic Bread,29
Koramangala 8th Block,Noodles,29
Bellandur,Mutton Biryani,29
HSR,Brownie,28
Infantry Road,Pasta,28
Malleshwaram,Pasta,28
Richmond Road,Waffles,28
Koramangala 5th Block,Stout,28
Koramangala 7th Block,Wine,28
Koramangala 6th Block,Beer,28
Indiranagar,Hyderabadi Biryani,28
Koramangala 1st Block,Sandwich,28
Shanti Nagar,Chaat,28
Koramangala 7th Block,Nachos,28
Lavelle Road,Hot Chocolate,28
Indiranagar,Chilli Chicken,28
Bannerghatta Road,Chicken Curry,28
Brigade Road,Dal Makhani,28
Jayanagar,Chicken Curry,28
Jayanagar,Neer Dosa,28
Koramangala 5th Block,Beer,28
Church Street,Palak Paneer,28
Cunningham Road,Sandwiches,28
Koramangala 1st Block,Tandoori Chicken,28
